year,month,day,period,condition
2014,12,1,M,Cloudy
2014,12,1,A,Cloudy
2014,12,2,M,Cloudy
2014,12,2,A,Rain
2014,12,3,M,Fog
2014,12,3,A,Rain
2014,12,4,M,Sunny
2014,12,4,A,Sunny
2014,12,5,M,Cloudy
2014,12,5,A,Cloudy
2014,12,6,M,Fog
2014,12,6,A,Rain
2014,12,7,M,Sunny
2014,12,7,A,Sunny
2014,12,8,M,Cloudy
2014,12,8,A,Cloudy
2014,12,9,M,Rain
2014,12,9,A,Rain
2014,12,10,M,Cloudy
2014,12,10,A,Fog
2014,12,11,M,Cloudy
2014,12,11,A,Cloudy
2014,12,12,M,Cloudy
2014,12,12,A,Cloudy
2014,12,13,M,Sunny
2014,12,13,A,Sunny
2014,12,14,M,Cloudy
2014,12,14,A,Cloudy
2014,12,15,M,Sunny
2014,12,15,A,Sunny
2014,12,16,M,Cloudy
2014,12,16,A,Cloudy
2014,12,17,M,Sunny
2014,12,17,A,Cloudy
2014,12,18,M,Cloudy
2014,12,18,A,Sunny
2014,12,19,M,Cloudy
2014,12,19,A,Sunny
2014,12,20,M,Cloudy
2014,12,20,A,Cloudy
2014,12,21,M,Cloudy
2014,12,21,A,Cloudy
2014,12,22,M,Cloudy
2014,12,22,A,Cloudy
2014,12,23,M,Fog
2014,12,23,A,Fog
2014,12,24,M,Fog
2014,12,24,A,Rain
2014,12,25,M,Cloudy
2014,12,25,A,Cloudy
2014,12,26,M,Sunny
2014,12,26,A,Sunny
2014,12,27,M,Sunny
2014,12,27,A,Sunny
2014,12,28,M,Rain
2014,12,28,A,Sunny
2014,12,29,M,Sunny
2014,12,29,A,Sunny
2014,12,30,M,Sunny
2014,12,30,A,Cloudy
2014,12,31,M,Sunny
2014,12,31,A,Sunny
2015,1,1,M,Sunny
2015,1,1,A,Sunny
2015,1,2,M,Cloudy
2015,1,2,A,Sunny
2015,1,3,M,Sunny
2015,1,3,A,Rain
2015,1,4,M,Cloudy
2015,1,4,A,Fog
2015,1,5,M,Cloudy
2015,1,5,A,Sunny
2015,1,6,M,Cloudy
2015,1,6,A,Cloudy
2015,1,7,M,Sunny
2015,1,7,A,Cloudy
2015,1,8,M,Sunny
2015,1,8,A,Sunny
2015,1,9,M,Cloudy
2015,1,9,A,Cloudy
2015,1,10,M,Sunny
2015,1,10,A,Sunny
2015,1,11,M,Cloudy
2015,1,11,A,Cloudy
2015,1,12,M,Rain
2015,1,12,A,Rain
2015,1,13,M,Sunny
2015,1,13,A,Sunny
2015,1,14,M,Cloudy
2015,1,14,A,Cloudy
2015,1,15,M,Cloudy
2015,1,15,A,Sunny
2015,1,16,M,Sunny
2015,1,16,A,Cloudy
2015,1,17,M,Sunny
2015,1,17,A,Sunny
2015,1,18,M,Rain
2015,1,18,A,Rain
2015,1,19,M,Cloudy
2015,1,19,A,Cloudy
2015,1,20,M,Sunny
2015,1,20,A,Cloudy
2015,1,21,M,Sunny
2015,1,21,A,Cloudy
2015,1,22,M,Cloudy
2015,1,22,A,Sunny
2015,1,23,M,Sunny
2015,1,23,A,Sunny
2015,1,24,M,Fog
2015,1,24,A,Fog
2015,1,25,M,Sunny
2015,1,25,A,Sunny
2015,1,26,M,Cloudy
2015,1,26,A,Cloudy
2015,1,27,M,Cloudy
2015,1,27,A,Cloudy
2015,1,28,M,Sunny
2015,1,28,A,Sunny
2015,1,29,M,Sunny
2015,1,29,A,Cloudy
2015,1,30,M,Cloudy
2015,1,30,A,Cloudy
2015,1,31,M,Sunny
2015,1,31,A,Sunny
2015,12,1,M,Cloudy
2015,12,1,A,Rain
2015,12,2,M,Cloudy
2015,12,2,A,Cloudy
2015,12,3,M,Cloudy
2015,12,3,A,Cloudy
2015,12,4,M,Sunny
2015,12,4,A,Sunny
2015,12,5,M,Sunny
2015,12,5,A,Sunny
2015,12,6,M,Sunny
2015,12,6,A,Sunny
2015,12,7,M,Sunny
2015,12,7,A,Sunny
2015,12,8,M,Cloudy
2015,12,8,A,Sunny
2015,12,9,M,Cloudy
2015,12,9,A,Cloudy
2015,12,10,M,Sunny
2015,12,10,A,Sunny
2015,12,11,M,Sunny
2015,12,11,A,Sunny
2015,12,12,M,Sunny
2015,12,12,A,Cloudy
2015,12,13,M,Sunny
2015,12,13,A,Sunny
2015,12,14,M,Fog
2015,12,14,A,Cloudy
2015,12,15,M,Sunny
2015,12,15,A,Sunny
2015,12,16,M,Sunny
2015,12,16,A,Sunny
2015,12,17,M,Cloudy
2015,12,17,A,Rain
2015,12,18,M,Cloudy
2015,12,18,A,Cloudy
2015,12,19,M,Sunny
2015,12,19,A,Cloudy
2015,12,20,M,Sunny
2015,12,20,A,Sunny
2015,12,21,M,Sunny
2015,12,21,A,Sunny
2015,12,22,M,Rain
2015,12,22,A,Cloudy
2015,12,23,M,Fog
2015,12,23,A,Fog
2015,12,24,M,Cloudy
2015,12,24,A,Cloudy
2015,12,25,M,Sunny
2015,12,25,A,Fog
2015,12,26,M,Cloudy
2015,12,26,A,Cloudy
2015,12,27,M,Fog
2015,12,27,A,Cloudy
2015,12,28,M,Sunny
2015,12,28,A,Sunny
2015,12,29,M,Rain
2015,12,29,A,Fog
2015,12,30,M,Fog
2015,12,30,A,Cloudy
2015,12,31,M,Cloudy
2015,12,31,A,Cloudy
2016,1,1,M,Cloudy
2016,1,1,A,Cloudy
2016,1,2,M,Cloudy
2016,1,2,A,Sunny
2016,1,3,M,Sunny
2016,1,3,A,Sunny
2016,1,4,M,Cloudy
2016,1,4,A,Sunny
2016,1,5,M,Sunny
2016,1,5,A,Sunny
2016,1,6,M,Sunny
2016,1,6,A,Sunny
2016,1,7,M,Sunny
2016,1,7,A,Cloudy
2016,1,8,M,Cloudy
2016,1,8,A,Cloudy
2016,1,9,M,Cloudy
2016,1,9,A,Cloudy
2016,1,10,M,Rain
2016,1,10,A,Fog
2016,1,11,M,Sunny
2016,1,11,A,Sunny
2016,1,12,M,Sunny
2016,1,12,A,Cloudy
2016,1,13,M,Sunny
2016,1,13,A,Sunny
2016,1,14,M,Cloudy
2016,1,14,A,Cloudy
2016,1,15,M,Sunny
2016,1,15,A,Sunny
2016,1,16,M,Cloudy
2016,1,16,A,Cloudy
2016,1,17,M,Sunny
2016,1,17,A,Cloudy
2016,1,18,M,Sunny
2016,1,18,A,Cloudy
2016,1,19,M,Sunny
2016,1,19,A,Sunny
2016,1,20,M,Sunny
2016,1,20,A,Sunny
2016,1,21,M,Sunny
2016,1,21,A,Sunny
2016,1,22,M,Sunny
2016,1,22,A,Sunny
2016,1,23,M,Fog
2016,1,23,A,Fog
2016,1,24,M,Sunny
2016,1,24,A,Sunny
2016,1,25,M,Sunny
2016,1,25,A,Sunny
2016,1,26,M,Sunny
2016,1,26,A,Sunny
2016,1,27,M,Cloudy
2016,1,27,A,Sunny
2016,1,28,M,Sunny
2016,1,28,A,Sunny
2016,1,29,M,Cloudy
2016,1,29,A,Cloudy
2016,1,30,M,Sunny
2016,1,30,A,Sunny
2016,1,31,M,Sunny
2016,1,31,A,Sunny
2016,12,1,M,Sunny
2016,12,1,A,Cloudy
2016,12,2,M,Sunny
2016,12,2,A,Cloudy
2016,12,3,M,Cloudy
2016,12,3,A,Cloudy
2016,12,4,M,Sunny
2016,12,4,A,Sunny
2016,12,5,M,Cloudy
2016,12,5,A,Sunny
2016,12,6,M,Sunny
2016,12,6,A,Cloudy
2016,12,7,M,Fog
2016,12,7,A,Cloudy
2016,12,8,M,Fog
2016,12,8,A,Fog
2016,12,9,M,Cloudy
2016,12,9,A,Cloudy
2016,12,10,M,Sunny
2016,12,10,A,Cloudy
2016,12,11,M,Sunny
2016,12,11,A,Cloudy
2016,12,12,M,Fog
2016,12,12,A,Sunny
2016,12,13,M,Sunny
2016,12,13,A,Sunny
2016,12,14,M,Sunny
2016,12,14,A,Sunny
2016,12,15,M,Cloudy
2016,12,15,A,Cloudy
2016,12,16,M,Sunny
2016,12,16,A,Sunny
2016,12,17,M,Cloudy
2016,12,17,A,Fog
2016,12,18,M,Cloudy
2016,12,18,A,Cloudy
2016,12,19,M,Sunny
2016,12,19,A,Sunny
2016,12,20,M,Sunny
2016,12,20,A,Sunny
2016,12,21,M,Sunny
2016,12,21,A,Sunny
2016,12,22,M,Cloudy
2016,12,22,A,Sunny
2016,12,23,M,Sunny
2016,12,23,A,Sunny
2016,12,24,M,Rainy
2016,12,24,A,Rainy
2016,12,25,M,Sunny
2016,12,25,A,Sunny
2016,12,26,M,Cloudy
2016,12,26,A,Cloudy
2016,12,27,M,Cloudy
2016,12,27,A,Sunny
2016,12,28,M,Cloudy
2016,12,28,A,Cloudy
2016,12,29,M,Rainy
2016,12,29,A,Rainy
2016,12,30,M,Sunny
2016,12,30,A,Cloudy
2016,12,31,M,Sunny
2016,12,31,A,Sunny
